filename,extension,center_r,center_c,radius, sigma, sample, alpha, beta, gamma, max_iter, status, accuracy
2,jpg,120,265,85, 3.5, 400, 0.015, 10, 0.001, 800, berhasil, 94.5253641386238
4,jpg,145,130,90, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 85.2086981903094
5,jpg,160,190,115, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 96.61944946755074
6,jpg,155,165,70, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 79.07501410039481
7,jpg,55,75,40, 3.5, 200, 0.015, 10, 0.001, 500, berhasil, 87.25190839694656
8,jpg,153,255,35, 3.5, 400, 0.015, 10, 0.001, 100, berhasil, 80.3532008830022
14,jpg,95,130,65, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 76.25970922127067
15,jpg,153,250,151, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 96.83939526730938
17,jpg,124,125,90, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 96.76469385250931
18,jpg,85,85,50, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 87.08338420217312
19,jpg,200,290,100, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 82.02002983166417
20,jpg,220,225,130, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 98.61239166513
22,jpg,140,190,100, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 85.75426510952047
26,jpg,195,248,193, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 97.82533274459092
27,jpg,207,253,205, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 87.32056304876349
28,jpg,120,80,60, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 94.29651545036161
29,jpg,195,240,160, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 74.6808143547274
33,jpg,100,195,70, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 81.65646380986676
37,jpg,110,125,80, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 94.21909157153267
40,jpg,90,100,55, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 70.87570621468927
41,jpg,105,170,70, 5, 400, 0.015, 10, 0.001, 500, berhasil, 93.86393535049802
16,jpg,208,245,200, 3.5, 400, 0.015, 10, 0.001, 500, gagal
31,jpg,245,190,180, 3.5, 400, 0.015, 10, 0.001, 500, gagal
39,jpg,260,265,170, 3.5, 400, 0.015, 10, 0.001, 500, gagal

luka kuning
filename,extension,center_r,center_c,radius, sigma, sample, alpha, beta, gamma, max_iter, status, accuracy
13,jpg,70,206,50, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 71.00719424460432
17,jpg,128,115,25, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 77.8494623655913
18,jpg,95,130,50, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 98.58423784804152
19,jpg,60,60,50, 3.5, 200, 0.015, 10, 0.001, 40, berhasil, 85.35811423390753
21,jpg,130,170,70, 3, 200, 0.015, 10, 0.001, 500, berhasil, 80.2821997105644
23,jpg,170,230,160, 3.5, 400, 0.015, 10, 0.001, 100, berhasil, 85.23795410280295
25,jpg,145,130,50, 3.5, 200, 0.015, 10, 0.001, 500, berhasil, 55.3809664986658
34,jpg,185,245,130, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 71.25272115574906
35,jpg,105,110,80, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 92.51610676484123
38,jpg,150,280,100, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 57.470632685306036
42,jpg,160,260,135, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 96.74507154701222
3,jpg,80,85,65, 3.5, 400, 0.015, 10, 0.001, 500, gagal
12,jpg,90,138,60, 3.5, 400, 0.015, 10, 0.001, 500, gagal
10,jpg,155,133,115, 3.5, 400, 0.015, 10, 0.001, 500, gagal
16,jpg,135,172,130, 3.5, 400, 0.015, 10, 0.001, 500, gagal

luka merah
16,jpg,130,140,90, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 71.49135377854208
17,jpg,105,160,75, 3.5, 400, 0.015, 10, 0.001, 400, berhasil, 90.68710959682
22,jpg,180,225,150, 3.5, 400, 0.015, 10, 0.001, 800, berhasil, 93.33333333333333
24,jpg,150,160,115, 3.5, 400, 0.015, 10, 0.001, 400, berhasil, 98.28240252897787
25,jpg,240,320,135, 3.5, 400, 0.015, 10, 0.001, 400, berhasil, 90.1952298518946
30,jpg,105,120,30, 3.5, 400, 0.015, 10, 0.001, 150, berhasil, 97.36842105263158
32,jpg,83,120,70, 3.5, 400, 0.015, 10, 0.001, 400, berhasil, 81.10727562400425
33,jpg,140,130,80, 3.5, 400, 0.015, 10, 0.001, 400, berhasil, 99.53530827317235
37,jpg,100,130,70, 3.5, 400, 0.015, 10, 0.001, 400, berhasil, 94.63129973474801
39,jpg,65,85,20, 3.5, 200, 0.015, 10, 0.001, 100, berhasil, 99.75932611311673
42,jpg,150,180,70, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 89.7971480216911
44,jpg,190,345,70, 3.5, 400, 0.015, 10, 0.001, 500, berhasil, 70.892180502928
2,jpg,270,105,100, 3.5, 400, 0.015, 10, 0.001, 500, gagal
3,jpg,255,170,100, 3.5, 400, 0.015, 10, 0.001, 500, gagal
4,jpg,310,170,100, 3.5, 400, 0.015, 10, 0.001, 500, gagal
6,jpg,160,250,120, 3.5, 400, 0.015, 10, 0.001, 500, gagal
7,jpg,180,250,90, 3.5, 400, 0.015, 10, 0.001, 500, gagal
8,jpg,220,260,140, 3.5, 400, 0.015, 10, 0.001, 500, gagal
9,jpg,236,130,70, 3.5, 400, 0.015, 10, 0.001, 500, gagal
10,jpg,209,240,80, 3.5, 400, 0.015, 10, 0.001, 500, gagal
11,jpg,190,295,170, 3.5, 400, 0.015, 10, 0.001, 500, gagal
12,jpg,200,245,130, 3.5, 400, 0.015, 10, 0.001, 500, gagal
14,jpg,180,263,175, 3.5, 400, 0.015, 10, 0.001, 500, gagal
18,jpg,180,280,70, 3.5, 400, 0.015, 10, 0.001, 100, gagal
19,jpg,215,275,215, 3.5, 400, 0.015, 10, 0.001, 100, gagal
20,jpg,180,204,173, 3.5, 400, 0.015, 10, 0.001, 100, gagal 
23,jpg,180,235,140, 3.5, 400, 0.015, 10, 0.001, 400, gagal
26,jpg,230,260,160, 3.5, 400, 0.015, 10, 0.001, 400, gagal
29,jpg,105,160,70, 3.5, 400, 0.015, 10, 0.001, 400, gagal
35,jpg,140,130,120, 3.5, 400, 0.015, 10, 0.001, 400, gagal
36,jpg,130,135,40, 3.5, 400, 0.015, 10, 0.001, 400, gagal
38,jpg,210,260,130, 3.5, 400, 0.015, 10, 0.001, 400, gagal